Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Chara;Star;12:33:44.54;+41:21:26.9;CVn;;;;;4.24;;;;;;;;;;;;;;;;;;HR 4785,bet CVn,HIP 61317,HD 109358;Chara;;;
Chason;Star;18:17:37.31;+36:37:17.2;Lyr;;;;;11.82;;;;;;;;;;;;;;;;;;HAT-P-5;Chason,Chasoň;;;
Chechia;Star;20:16:06.00;+04:34:50.9;Aql;;;;;6.44;;;;;;;;;;;;;;;;;;HD 192699,HIP 99894,HD 192699;Chechia;;;
Chertan;Star;11:14:14.40;+15:25:46.5;Leo;;;;;3.33;;;;;;;;;;;;;;;;;;HR 4359,tet Leo,HIP 54879,HD 97633;Chertan;;;
Citadelle;Star;00:19:17.07;+14:03:17.1;Psc;;;;;8.36;;;;;;;;;;;;;;;;;;HD 1502,HIP 1547,HD 1502;Citadelle;;;
Citala;Star;07:00:18.04;-05:22:01.8;Mon;;;;;6.29;;;;;;;;;;;;;;;;;;HD 52265,HIP 33719,HD 52265;Citala,Citalá;;;
Cocibolca;Star;00:44:26.65;-26:30:56.5;Scl;;;;;7.78;;;;;;;;;;;;;;;;;;HD 4208,HIP 3479,HD 4208;Cocibolca;;;
Copernicus;Star;08:52:35.81;+28:19:51.0;Cnc;;;;;5.95;;;;;;;;;;;;;;;;;;HR 3522,55 Cnc,HIP 43587,HD 75732;Copernicus;;;
Cor Caroli;Star;12:56:01.67;+38:19:06.2;CVn;;;;;2.89;;;;;;;;;;;;;;;;;;HR 4915,alf02 CVn,HIP 63125,HD 112413;Cor Caroli;;;
Cujam;Star;16:25:24.95;+14:01:59.8;Her;;;;;4.57;;;;;;;;;;;;;;;;;;HR 6117,ome Her,HIP 80463,HD 148112;Cujam;;;
Cursa;Star;05:07:50.99;-05:05:11.2;Eri;;;;;2.78;;;;;;;;;;;;;;;;;;HR 1666,bet Eri,HIP 23875,HD 33111;Cursa;;;
Dabih;Star;20:21:00.67;-14:46:53.1;Cap;;;;;3.05;;;;;;;;;;;;;;;;;;HR 7776,bet01 Cap,HIP 100345,HD 193495;Dabih;;;
Dalim;Star;03:12:04.53;-28:59:15.4;For;;;;;3.86;;;;;;;;;;;;;;;;;;HR 963,alf For,HIP 14879,HD 20010;Dalim;;;
Deneb;Star;20:41:25.92;+45:16:49.2;Cyg;;;;;1.25;;;;;;;;;;;;;;;;;;HR 7924,alf Cyg,HIP 102098,HD 197345;Deneb;;;
Deneb Algedi;Star;21:47:02.44;-16:07:38.2;Cap;;;;;2.85;;;;;;;;;;;;;;;;;;HR 8322,del Cap,HIP 107556,HD 207098;Deneb Algedi;;;
Denebola;Star;11:49:03.58;+14:34:19.4;Leo;;;;;2.14;;;;;;;;;;;;;;;;;;HR 4534,bet Leo,HIP 57632,HD 102647;Denebola;;;
Diadem;Star;13:09:59.29;+17:31:46.0;Com;;;;;4.85;;;;;;;;;;;;;;;;;;HR 4968,alf Com,HIP 64241,HD 114378;Diadem;;;
Dingolay;Star;11:04:44.45;-02:30:47.6;Leo;;;;;8.21;;;;;;;;;;;;;;;;;;HD 96063,HIP 54158,HD 96063;Dingolay;;;
Diphda;Star;00:43:35.37;-17:59:11.8;Cet;;;;;2.04;;;;;;;;;;;;;;;;;;HR 188,bet Cet,HIP 3419,HD 4128;Diphda;;;
Diwo;Star;15:59:50.95;-28:03:42.3;Sco;;;;;11.38;;;;;;;;;;;;;;;;;;WASP-17;Diwo,Dìwö;;;
Diya;Star;02:44:09.61;-30:10:08.6;For;;;;;10.84;;;;;;;;;;;;;;;;;;WASP-72;Diya;;;
