Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
PK 23-01 2;PN;18:41:07.34;-08:55:59.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 23-02 1;PN;18:43:20.20;-09:04:49.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 24+03 1;PN;18:21:23.83;-06:01:58.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 24+05 1;PN;18:14:18.62;-04:59:21.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 24-05 1;PN;18:54:17.39;-10:05:10.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 24-03 1;PN;18:47:48.36;-09:09:08.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 24-02 1;PN;18:46:34.57;-08:28:01.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-11 1;PN;19:19:17.51;-12:14:51.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25+40 1;PN;16:11:44.31;+12:04:27.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-04 1;PN;18:54:20.10;-08:53:32.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-04 2;PN;18:54:36.52;-08:49:49.2;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-17 1;PN;19:43:58.04;-14:09:07.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-00 1;PN;18:42:05.52;-06:41:02.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 25-02 1;PN;18:46:24.61;-07:14:34.1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 26-11 1;PN;19:18:19.32;-11:06:11.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 26-01 2;PN;18:45:27.58;-06:56:57.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 26-02 1;PN;18:47:32.34;-06:53:56.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 26-02 3;PN;18:50:44.86;-07:01:31.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 26-01 1;PN;18:45:35.16;-06:18:29.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27-02 1;PN;18:48:46.61;-05:56:04.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27-03 1;PN;18:53:29.22;-06:29:13.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27-03 2;PN;18:54:01.91;-06:26:20.3;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27+04 1;PN;18:26:40.04;-02:42:57.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27-09 1;PN;19:16:28.22;-09:02:36.6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 27+00 1;PN;18:39:21.80;-04:19:50.4;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 28-04 1;PN;18:57:17.23;-05:59:40.7;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 28+01 1;PN;18:37:36.38;-03:05:57.9;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 28+05 1;PN;18:25:00.56;-01:30:53.0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
PK 28+02 1;PN;18:34:13.63;-02:27:37.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;
