Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-186;HII;01:08:51.11;+63:08:02.7;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-187;HII;01:23:07.77;+61:51:23.9;;10;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-188;HII;01:30:39.35;+58:22:00.3;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-189;HII;02:12:08.55;+64:10:18.1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-190;HII;02:33:23.16;+61:26:32.4;;150;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-191;HII;02:36:39.33;+59:38:14.5;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-192;HII;02:47:14.18;+61:59:16.6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-193;HII;02:47:32.54;+62:00:14.9;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-194;HII;02:47:19.92;+61:56:16.1;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-195;HII;02:40:06.05;+59:38:55.8;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-196;HII;02:51:19.21;+62:13:53.3;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-197;HII;02:41:55.42;+59:38:45.8;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-198;HII;02:50:01.83;+59:41:60.0;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-199;HII;02:54:33.57;+60:24:33.8;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-200;HII;03:10:45.07;+62:48:55.8;;6;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-201;HII;03:03:10.37;+60:28:42.0;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-202;HII;03:18:51.54;+59:38:02.4;;170;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-203;HII;03:22:01.03;+54:52:40.0;;45;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-204;HII;03:55:45.65;+57:25:44.2;;40;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-205;HII;03:56:08.17;+53:11:39.8;;120;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-206;HII;04:03:13.08;+51:19:46.3;;50;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-207;HII;04:20:04.97;+53:08:37.2;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-208;HII;04:19:45.90;+52:58:39.6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-209;HII;04:11:03.01;+51:09:46.6;;14;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-210;HII;04:30:59.09;+52:33:10.5;;20;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-211;HII;04:36:57.80;+50:56:21.7;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-212;HII;04:40:37.76;+50:22:51.7;;5;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-213;HII;04:20:42.97;+44:55:29.6;;1;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-214;HII;04:21:34.91;+44:22:22.6;;4;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-215;HII;04:17:32.95;+42:36:53.8;;2;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-216;HII;04:44:57.03;+46:49:15.1;;80;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-217;HII;04:58:47.52;+48:00:20.5;;9;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-218;HII;05:41:16.57;+52:11:18.3;;70;;;;;;;;;;;;;;;;;;;;;;;;;;
Sh2-219;HII;04:56:08.02;+47:23:42.5;;3;;;;;;;;;;;;;;;;;;;;;;;;;;
